Reference	University	JournalTitle	Authors	PRTitle	Sample_journal	Sample_PR	Advice_exaggeration
14-11-028	Nottingham    	Polymeric human Fc-fusion proteins with modified effector functions	--too many PubMed results--	Better and more affordable treatments for sufferers of autoimmune diseases 	6: IgG Fc-fusion	1: People	0
15-11-006	Oxford        	Delivery of siRNA to the mouse brain by systemic injection of targeted exosomes	"Alvarez-Erviti L,Seow Y,Yin H,Betts C,Lakhal S,Wood MJ"	New method delivers Alzheimers drug to the brain	4: inbred C57BL/6 mice 	2: Implicitly humans (Alzheimer's)	0
16-11-001	Queens Belfast	Nox2 NADPH Oxidase Promotes Pathologic Cardiac Remodeling Associated with Doxorubicin Chemotherapy	"Zhao Y,McLaughlin D,Robinson E,Harvey AP,Hookham MB,Shah AM,McDermott BJ,Grieve DJ"	Cancer breakthrough to prevent heart failure and increase survival rates	6: Nox2/ mice	1: Cancer patients	0
16-11-003	Queens Belfast	FKBPL and Peptide Derivatives: Novel Biological Agents That Inhibit Angiogenesis by a CD44-Dependent Mechanism	"Valentine A,O'Rourke M,Yakkundi A,Worthington J,Hookham M,Bicknell R,McCarthy HO,McClelland K,McCallum L,Dyer H,McKeen H,Waugh DJ,Roberts J,McGregor J,Cotton G,James I,Harrison T,Hirst DG,Robson T"	Scientists discover a way to kill off tumours in cancer treatment breakthrough	6: immortalized human microvascular endothelial cell line (HMEC-1)	8: cencer tumours	0
16-11-006	Queens Belfast	A phase I study of combined docetaxel and repeated high activity 186Re-HEDP in castration-resistant prostate cancer (CRPC) metastatic to bone (the TAXIUM trial)	"van Dodewaard-de Jong JM,de Klerk JM,Bloemendal HJ,van Bezooijen BP,de Haas MJ,Wilson RH,O'Sullivan JM"	Queens pioneers prostate cancer breakthrough 	1: Men with histologically confirmed prostate adenocarcinoma metastatic to bone	-9: 	0
17-11-004	Sheffield     	Use of Macrophages to Target Therapeutic Adenovirus to Human Prostate Tumors	--too many PubMed results--	New treatment can destroy prostate cancer from within	4: Mice	1: Patients (with prostate tumours)	0
17-11-008	Sheffield     	Dietary Phosphate Modulates Atherogenesis and Insulin Resistance in Apolipoprotein E Knockout MiceBrief Report	"Ellam T,Wilkie M,Chamberlain J,Crossman D,Eastell R,Francis S,Chico TJ"	Experts prove link between phosphate intake and heart disease	4: mice	1: humans	0
18-11-008	Southampton   	Fc gamma receptor Iib on target B cells promotes rituximab internalization and reduces clinical efficacy	"Lim SH,Vaughan AT,Ashton-Key M,Williams EL,Dixon SV,Chan HT,Beers SA,French RR,Cox KL,Davies AJ,Potter KN,Mockridge CI,Oscier DG,Johnson PW,Cragg MS,Glennie MJ"	Southampton researchers' blood cancer breakthrough	6: Blood cells from healthy and patient samples	1: Patients	0
20-11-007	Warwick       	 Glycation of LDL by Methylglyoxal Increases Arterial Atherogenicity A Possible Contributor to Increased Risk of Cardiovascular Disease in Diabetes 	"Rabbani N,Godfrey L,Xue M,Shaheen F,Geoffrion M,Milne R,Thornalley PJ"	Super-sticky ultra-bad cholesterol revealed in people at high risk of heart disease 	8: Cell culture and mice	1: People with type-2 diabetes and the elderly	0
20-11-015	Warwick       	"We both need to work: maternal employment, childcare and health care in Britain and the USA"	--no PubMed data found--	Lack of part-time jobs in senior or well paid roles force new mothers to abandon successful careers	1: fathers	1: mothers	0
20-11-016	Warwick       	Spindle Checkpoint Silencing Requires Association of PP1 to Both Spc7 and Kinesin-8 Motors	"Meadows JC,Shepperd LA,Vanoosthuyse V,Lancaster TC,Sochaj AM,Buttrick GJ,Hardwick KG,Millar JB"	Warwick scientists discover how daughter cells receive the same number of chromosomes 	6: yeast	6: yeast cells	0
10-11-018	Liverpool     	An environment-dependent structural switch underlies the regulation of carnitine palmitoyltransferase 1A	"Rao JN,Warren GZ,Estolt-Povedano S,Zammit VA,Ulmer TS"	Body's fat switch discovered	"7: Multidimensional, heteronuclear NMR spectroscopy in combination with molecular modeling"	-9: 	0
